"Periodo","Cantidad","Pt"
0,0,15
0,4.5,15
1,1.5,15
1,1.5,25
2,4.5,25
2,4.5,15
3,1.5,15
3,1.5,25
4,4.5,25
4,4.5,15
5,1.5,15
5,1.5,25
6,4.5,25
6,4.5,15
7,1.5,15
7,1.5,25
8,4.5,25
8,4.5,15
9,1.5,15
9,1.5,25
10,4.5,25
10,4.5,15
11,1.5,15
11,1.5,25
12,4.5,25
12,4.5,15
